property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,shree vardhman victoria,sector 70,1.5,7692.31,3,5,3,7.0,Relatively New,1527.0,0,1,0,0,0,1,174
flat,adani aangan arcade,sector 89,0.5,7763.98,2,2,1,4.0,Relatively New,672.0,0,0,0,0,0,2,69
flat,supertech araville,sector 79,1.1,5641.03,3,3,3,1.0,Relatively New,2167.0,0,0,0,0,0,1,106
flat,ats triumph,sector 104,1.85,8078.6,3,4,3+,14.0,Relatively New,2072.0,1,1,1,1,0,0,117
house,bptp visionnaire,sector 70a,4.7,18007.66,4,4,3+,3.0,New Property,2610.0,0,0,0,0,1,0,35
flat,bestech park view spa next,sector 67,2.35,12144.7,3,4,3+,14.0,Moderately Old,1751.0,0,1,0,0,0,1,156
flat,adani brahma samsara vilasa,sector 63,4.49,14253.97,4,4,3+,3.0,New Property,3150.0,0,0,0,0,0,1,96
flat,vatika the seven lamps,sector 82,0.85,5977.5,2,2,2,9.0,Relatively New,1294.0,1,0,0,0,0,0,117
house,prem kunj,sohna road road,0.5,7407.41,2,4,3,3.0,Relatively New,725.0,0,0,0,1,0,0,22
flat,vatika gurgaon,sector 83,0.75,6024.1,2,2,2,19.0,Relatively New,1150.0,0,0,0,0,1,1,105
house,independent,sector 23,5.0,16244.31,4,4,2,2.0,Old Property,3078.0,0,0,0,0,0,0,7
flat,sare green parc,sector 92,0.75,4820.05,3,2,2,16.0,Relatively New,1556.0,0,0,0,0,0,0,0
flat,dlf regal gardens,sector 90,1.26,7403.06,3,3,3,6.0,Relatively New,1603.0,0,0,0,0,1,1,28
flat,ireo victory valley,sector 67,4.55,14536.74,4,4,3+,19.0,Relatively New,2833.0,0,1,0,0,0,1,156
flat,ats tourmaline,sector 109,2.3,8897.49,3,4,3+,10.0,New Property,2339.0,0,1,0,0,1,0,74
flat,emaar palm gardens,sector 83,1.72,9052.63,3,3,3,4.0,Relatively New,1600.0,0,1,0,0,0,1,165
flat,tata primanti,sector 72,3.9,13425.13,4,4,3+,39.0,Relatively New,2509.0,0,1,0,0,1,0,49
house,independent,sector 6,0.66,10784.31,3,2,1,2.0,Old Property,612.0,0,0,0,0,0,0,36
flat,ansal api celebrity suites,sector 2,0.6,8163.27,1,1,1,5.0,Moderately Old,665.0,0,0,0,0,0,1,67
flat,corona gracieux,sector 76,1.46,5499.06,4,6,3+,8.0,New Property,2398.0,0,1,0,0,0,0,58
flat,ats triumph,sector 104,2.0,8733.62,3,4,3+,4.0,Relatively New,2072.0,0,1,0,0,0,0,60
flat,la vida by tata housing,sector 113,1.5,11755.49,2,2,2,13.0,New Property,1155.0,0,0,0,0,0,0,60
flat,experion windchants,sector 112,3.4,12134.19,3,3,2,14.0,Relatively New,2225.56,0,0,0,0,0,1,159
flat,godrej summit premia towers,sector 104,0.9,7148.53,2,2,0,16.0,Relatively New,1259.0,0,0,0,0,0,0,0
flat,supertech araville,sector 79,1.45,7455.01,3,3,3,3.0,Relatively New,2161.0,0,0,0,0,0,0,0
flat,godrej nature plus,sector 33,1.67,10503.14,3,2,2,18.0,Under Construction,1857.0,0,0,0,0,0,0,67
house,independent,sector 7,0.53,5888.89,2,2,0,1.0,Old Property,900.0,0,0,0,0,0,0,0
flat,emaar gurgaon greens,sector 102,1.45,8787.88,3,3,2,7.0,Relatively New,1493.0,0,1,0,0,0,1,169
flat,signature global synera,sector 81,0.48,8450.7,2,2,1,7.0,Relatively New,613.0,0,0,0,0,0,1,70
flat,godrej,sector 79,1.91,8511.59,3,4,3+,7.0,Relatively New,2031.0,0,1,0,0,0,0,158
flat,indiabulls centrum park,sector 103,1.33,8580.65,3,3,3+,8.0,Relatively New,1671.0,1,0,0,0,0,0,150
flat,tulip purple,sector 69,1.92,8000.0,4,5,3+,5.0,Relatively New,2172.0,0,1,0,0,0,1,158
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.03,3,3,3,2.0,Relatively New,1524.0,1,1,0,0,0,1,136
flat,the new crpf apartments,sector 9a,0.75,5813.95,3,3,3,6.0,Old Property,1433.0,0,0,0,1,0,0,31
flat,m3m ikonic,sector 68,1.8,9230.77,3,3,3+,18.0,Relatively New,1845.0,0,0,0,0,0,1,126
flat,mrg skyline,sector 106,1.82,13392.2,3,2,2,4.0,Relatively New,1359.0,0,0,0,0,0,0,0
house,eros rosewood city,sector 49,1.6,3499.56,4,4,3,4.0,New Property,60.0,0,0,0,0,0,1,27
flat,orris aster court premier,sector 85,1.25,5896.23,3,4,2,6.0,Relatively New,1616.0,0,1,0,0,0,1,49
house,independent,sector 12,2.9,10740.74,7,7,3,2.0,Old Property,2700.0,0,0,0,0,0,0,7
flat,hcbs sports ville,sohna road,0.32,6165.7,2,2,2,2.0,New Property,577.0,0,0,0,0,0,0,37
flat,indiabulls enigma,sector 110,4.25,10953.61,5,5,3+,4.0,Relatively New,3511.0,0,1,0,0,0,0,101
flat,emaar mgf palm hills,sector 77,1.64,8410.26,4,3,3,9.0,Relatively New,1765.0,0,1,0,0,0,0,102
flat,m3m woodshire,sector 107,0.94,6881.41,2,2,3+,1.0,Moderately Old,1236.0,0,0,0,0,0,0,113
flat,adani m2k oyster grande,sector 102,2.6,10007.7,3,3,3,2.0,Relatively New,2351.0,1,1,1,0,0,0,118
house,independent,sector 50,13.2,27154.91,6,6,0,2.0,Moderately Old,4861.0,0,0,0,0,0,0,0
house,independent,sector 7,0.66,12000.0,3,1,1,3.0,Relatively New,550.0,0,0,0,0,1,0,22
flat,pivotal devaan,sector 84,0.27,7964.6,1,1,1,13.0,Relatively New,387.0,0,0,0,0,0,2,45
flat,bestech park view spa next,sector 67,2.32,11989.66,3,4,3+,14.0,Moderately Old,1764.0,0,1,0,0,0,1,59
flat,dlf the primus,sector 82a,1.59,10338.1,3,3,3+,5.0,Relatively New,1668.0,0,0,0,0,1,2,167
flat,ss the leaf,sector 85,2.2,5641.03,4,6,3,10.0,Relatively New,3920.0,0,1,0,0,0,0,174
flat,supertech new soft launch,sector 68,0.84,7118.64,2,2,2,7.0,New Property,1180.0,0,0,0,0,0,0,0
flat,signature global city,sector 37d,0.8,8421.05,2,2,2,2.0,Under Construction,860.0,0,0,0,0,0,0,42
flat,sobha city,sector 108,2.1,13972.06,2,2,2,3.0,Under Construction,1250.0,0,0,0,0,0,0,74
flat,shree vardhman flora,sector 90,0.96,5120.0,3,4,3,3.0,New Property,1697.0,0,1,0,0,0,0,106
flat,ss the leaf,sector 85,1.14,6951.22,2,2,3,4.0,Relatively New,1484.0,0,0,0,0,0,0,109
flat,bestech park view residency,sector 2,0.95,6709.04,2,2,3,10.0,Old Property,1573.0,0,0,0,0,0,1,88
flat,pareena coban residences,sector 99a,1.56,7811.72,3,5,3,4.0,New Property,1807.0,0,1,0,0,1,0,49
flat,birla navya,sector 63a,3.15,14630.75,3,3,3,4.0,Under Construction,2153.0,0,0,0,0,1,0,44
flat,godrej,sector 79,1.41,8998.09,2,2,3,3.0,New Property,1747.0,1,0,0,0,0,0,104
flat,shree vardhman victoria,sector 70,1.15,8518.52,2,2,3,8.0,Relatively New,1222.0,1,0,0,0,1,0,49
house,dlf city plots,sector 26,13.5,29880.48,5,5,2,2.0,Moderately Old,4518.0,1,1,0,0,1,1,104
flat,puri emerald bay,sector 104,1.59,10905.35,2,2,2,12.0,Relatively New,1403.0,0,0,0,0,0,0,121
flat,tulip violet,sector 69,1.68,10071.94,3,3,2,0.0,Relatively New,1510.0,0,0,0,0,0,0,157
flat,signature global park,sohna road,0.87,7190.08,3,2,3,4.0,Relatively New,1210.0,0,0,0,0,0,0,58
flat,indiabulls centrum park,sector 103,1.15,8679.25,2,2,3,10.0,Relatively New,1080.0,1,0,0,0,0,1,174
flat,emaar gurgaon greens,sector 102,1.5,9090.91,3,3,3,7.0,Relatively New,1315.0,0,0,0,1,0,1,174
house,independent,sector 28,11.25,34722.22,9,9,3+,2.0,Moderately Old,3240.0,0,1,1,1,0,1,126
flat,satya the hermitage,sector 103,0.8,5517.24,2,2,0,10.0,Relatively New,1450.0,0,0,0,0,0,0,61
flat,ramprastha the edge towers,sector 37d,1.1,5527.64,3,3,3,9.0,Relatively New,1990.0,0,0,0,0,0,0,63
flat,m3m skywalk,sector 74,1.55,13790.04,2,2,3+,18.0,Relatively New,1300.0,0,0,0,0,1,0,137
house,independent,sector 24,2.6,24074.07,4,4,3+,4.0,Relatively New,1080.0,1,0,1,1,0,2,0
house,suncity essel towers,sector 28,6.0,22222.22,4,4,3+,3.0,Old Property,2700.0,1,0,0,0,0,1,89
flat,the lions cghs,sector 56,1.99,11055.56,4,4,3+,4.0,Old Property,2000.0,0,0,0,1,1,1,105
flat,zara aavaas,sector 104,0.26,7807.81,1,1,2,0.0,Relatively New,301.0,0,0,0,0,0,0,91
flat,umang monsoon breeze,sector 78,0.62,5004.04,2,2,1,7.0,Moderately Old,1115.0,0,0,1,0,0,0,111
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1956.0,0,0,0,0,0,0,0
flat,m3m latitude,sector 65,4.7,19747.9,3,3,3+,9.0,Relatively New,2380.0,0,1,0,1,0,1,44
flat,emaar mgf emerald floors premier,sector 65,2.65,16060.61,3,3,3,5.0,Relatively New,1650.0,1,1,0,0,0,0,37
flat,my home,new sector 2,0.28,3167.42,2,1,1,2.0,Relatively New,1000.0,0,0,0,0,1,0,15
flat,wings apartment,sector 9,1.2,6666.67,4,3,2,4.0,Moderately Old,2000.0,0,0,0,0,0,1,23
house,independent,sector 55,1.64,10123.46,3,3,2,4.0,New Property,180.0,1,1,0,0,0,1,54
flat,sare homes,sector 92,0.95,4250.56,4,3,2,16.0,New Property,1983.0,0,0,0,0,0,0,95
flat,vatika city,sector 49,2.64,11722.91,3,4,3+,2.0,Moderately Old,2252.0,0,1,0,1,0,1,140
flat,supertech araville,sector 79,1.35,6940.87,3,3,3,4.0,Relatively New,2161.0,0,0,0,0,0,0,0
flat,signature global city 81,sector 81,0.89,8279.07,2,2,2,3.0,Under Construction,1194.0,0,0,0,0,1,0,20
flat,tulip violet,sector 69,1.66,8409.32,4,4,1,12.0,Relatively New,1783.0,0,0,0,1,0,0,102
flat,ss the leaf,sector 85,1.78,7392.03,3,4,3+,6.0,New Property,2179.0,0,0,1,0,0,0,113
flat,mrg world ultimus,sector 90,0.5,6983.24,2,2,2,1.0,Under Construction,796.0,0,0,0,0,0,0,21
house,independent,sector 23,5.5,21825.4,8,8,2,3.0,Moderately Old,2520.0,1,1,0,1,0,1,76
flat,dlf regal gardens,sector 90,1.76,7945.82,4,4,3+,8.0,Relatively New,2020.0,0,0,0,0,0,1,135
flat,satya element one,sector 49,0.94,14008.94,1,2,2,2.0,Moderately Old,746.0,0,0,0,0,0,0,0
flat,krrish provence estate,gwal pahari,7.5,7500.0,5,6,3+,23.0,Relatively New,9050.0,0,1,0,1,1,0,49
house,independent,sector 56,3.25,21494.71,5,6,3+,4.0,Relatively New,1512.0,0,0,0,1,1,1,27
flat,emaar palm gardens,sector 83,3.15,8400.0,5,7,3+,15.0,Relatively New,3200.0,0,1,0,0,0,1,165
house,emaar mgf marbella,sector 66,8.8,41607.57,4,4,3+,3.0,Relatively New,2115.0,0,1,1,1,0,0,107
flat,antriksh heights,sector 84,0.73,6083.33,2,2,3+,4.0,Relatively New,1026.0,1,0,1,1,0,0,158
flat,pioneer araya,sector 62,7.56,18000.0,4,4,3+,23.0,Relatively New,4200.0,0,1,0,1,0,1,87
flat,ireo skyon,sector 60,3.05,12788.26,3,3,3,9.0,Relatively New,2300.0,0,1,0,0,0,1,165
flat,m3m skywalk,sector 74,1.54,11000.0,2,2,3+,22.0,Relatively New,1200.0,0,0,0,0,1,0,137
flat,the close north,sector 50,2.7,9981.52,3,3,3+,3.0,Moderately Old,2357.0,0,1,0,0,0,0,117
house,mian wali,sector 12,1.7,9444.44,1,1,1,1.0,Old Property,1800.0,0,1,0,0,0,0,7
flat,signature global rosellia,sector 95,0.45,8754.86,2,2,2,14.0,New Property,571.0,0,0,0,0,0,0,24
house,independent,sector 26,4.45,35177.87,4,4,3,3.0,Old Property,1265.0,0,0,0,0,0,0,25
flat,mvn athens,sohna road,0.21,4666.67,1,1,1,11.0,New Property,500.0,0,0,0,0,0,0,16
flat,tarc maceo,sector 91,1.8,7758.62,4,3,3+,0.0,Relatively New,2578.0,1,0,0,1,0,2,45
house,international city by sobha phase 2,sector 109,12.5,26669.51,5,6,3,3.0,Relatively New,4687.0,1,1,1,1,0,0,63
flat,sbr apartment,manesar,0.68,4456.09,3,3,3,2.0,Moderately Old,1526.0,0,0,0,0,0,0,0
flat,godrej nature plus,sector 33,1.35,8670.52,3,2,3+,17.0,New Property,1409.0,0,0,0,0,0,0,38
house,independent,sector 14,6.4,20317.46,6,6,3+,3.0,Old Property,3150.0,0,0,0,0,1,0,35
flat,experion the heartsong,sector 108,2.0,7196.83,4,4,3+,10.0,Relatively New,2500.0,0,1,0,1,0,1,174
house,independent,sector 7,6.5,15046.3,3,2,3+,2.0,Old Property,4320.0,0,0,0,0,0,0,9
flat,gls arawali homes,sohna road,0.3,6237.01,2,2,2,4.0,Relatively New,524.0,0,0,0,0,0,2,120
flat,m3m woodshire,sector 107,0.98,6422.02,2,2,3,7.0,Relatively New,1281.0,1,0,0,0,0,1,174
flat,emaar palm gardens,sector 83,1.75,9210.53,3,3,3,6.0,Relatively New,1600.0,0,1,0,0,0,1,150
house,independent,sector 39,5.15,14071.04,5,5,0,1.0,Relatively New,3660.0,0,0,0,0,0,0,0
house,independent,sector 4,4.12,8888.89,2,1,3+,2.0,Moderately Old,4635.0,0,0,0,0,0,0,0
flat,supertech araville,sector 79,1.35,9000.0,2,2,3,6.0,New Property,1350.0,1,0,0,0,1,1,88
flat,m3m heights,sector 65,2.33,18477.4,2,2,3,35.0,Under Construction,1141.0,0,0,0,0,0,1,49
flat,maruti kunj,sector 11,0.8,5161.29,3,2,0,0.0,Old Property,1403.0,0,0,0,0,0,0,8
flat,m3m woodshire,sector 107,1.29,8835.62,3,3,3+,1.0,Relatively New,1690.0,0,0,0,1,0,1,174
flat,signature global park,sohna road,0.54,6330.6,2,2,2,4.0,Relatively New,939.0,0,0,0,1,0,0,159
flat,dlf the primus,sector 82a,1.8,13846.15,3,3,3+,10.0,Relatively New,1545.0,0,1,0,0,0,2,174
flat,sare homes,sector 92,0.6,5000.0,3,2,3,4.0,Moderately Old,1333.0,0,0,0,0,0,1,49
flat,godrej air,sector 85,1.4,10000.0,2,2,3,23.0,Relatively New,1400.0,0,0,0,0,0,0,44
flat,tarc maceo,sector 91,0.9,6870.23,2,2,2,13.0,Relatively New,1186.0,0,0,0,0,0,2,67
flat,meditech apartment,sector 56,2.45,8166.67,4,4,3+,1.0,Relatively New,2900.0,0,0,0,0,1,1,118
flat,tulip violet,sector 69,1.42,8998.73,3,3,2,8.0,Relatively New,1428.0,0,0,0,1,0,1,94
house,rwa sector 46,sector 46,4.5,24390.24,6,6,3+,3.0,Moderately Old,1845.0,0,0,1,0,0,1,80
flat,ireo skyon,sector 60,3.0,12484.39,3,3,3,5.0,Relatively New,2400.0,0,1,0,0,0,1,174
flat,m3m urbana,sector 67,1.0,12106.54,1,1,1,17.0,Relatively New,826.0,0,0,0,0,0,0,49
house,nitin vihar,sector 33,0.85,9444.44,3,2,0,1.0,Relatively New,900.0,0,0,0,0,0,0,15
house,independent,sector 14,3.5,18087.86,6,4,2,2.0,Old Property,1935.0,0,0,0,0,1,1,27
flat,kendriya vihar,sector 56,0.58,9586.78,1,1,1,1.0,Old Property,672.0,0,0,0,0,0,0,77
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.09,2,2,2,12.0,New Property,747.0,0,0,0,0,0,0,57
flat,aditya apartment,manesar,1.0,4032.26,3,4,0,3.0,New Property,2480.0,0,0,0,0,0,0,0
flat,ansal heights 86,sector 86,1.25,7396.45,3,2,1,11.0,New Property,1529.0,0,0,0,0,0,0,45
flat,emaar palm gardens,sector 83,1.75,9210.53,3,3,3,6.0,Relatively New,1549.0,0,1,0,0,0,1,105
flat,shapoorji pallonji joyville gurugram,sector 102,2.0,10799.14,3,3,3,9.0,Relatively New,1676.0,0,0,0,0,0,0,49
flat,ansal housing highland park,sector 103,0.8,5878.03,2,2,2,9.0,Relatively New,1361.0,0,0,0,0,0,0,0
flat,radhakrishna society,sector 23,0.55,5000.0,2,2,1,1.0,Moderately Old,995.0,0,0,0,0,0,1,29
house,independent,sector 12,0.9,13333.33,2,4,0,2.0,Old Property,675.0,0,0,0,0,0,0,0
flat,hcbs sports ville,sohna road,0.28,3768.51,2,2,1,11.0,Relatively New,743.0,0,0,0,0,0,0,38
flat,ramprastha the edge towers,sector 37d,0.71,5419.85,2,2,3,10.0,New Property,1100.0,0,0,0,0,1,0,38
flat,tata primanti,sector 72,3.3,15384.62,3,3,3+,10.0,Relatively New,2000.0,0,1,0,0,0,1,165
flat,vatika gurgaon,sector 83,1.4,7179.49,4,4,3,10.0,Relatively New,2167.0,0,1,0,0,0,0,35
flat,m3m merlin,sector 67,3.0,14655.59,3,3,3+,4.0,Relatively New,2047.0,0,0,1,0,0,1,174
house,emaar mgf marbella,sector 66,12.0,38095.24,5,6,3+,4.0,New Property,3150.0,0,1,0,1,0,0,38
flat,signature global grand iva,sector 103,0.3,8287.29,1,2,2,5.0,New Property,402.0,0,0,0,0,0,0,37
flat,vatika the seven lamps,sector 82,1.6,6597.94,4,5,3+,8.0,Relatively New,2195.0,0,1,0,0,0,0,133
house,unitech espace,sector 50,9.8,30246.91,4,4,3,2.0,Moderately Old,3240.0,0,1,0,0,0,0,22
flat,vidya apartment,sector 3 phase 3 extension,0.22,4206.5,2,2,1,1.0,Relatively New,570.0,0,0,0,0,1,2,36
flat,emaar mgf the palm drive,sector 66,1.51,15130.26,2,2,2,5.0,Relatively New,1188.0,0,0,0,1,0,1,82
flat,zara aavaas,sector 104,0.22,7308.97,1,2,2,2.0,New Property,335.0,0,0,0,0,0,0,60
flat,m3m skywalk,sector 74,1.5,12500.0,2,2,3,17.0,Relatively New,1300.0,0,0,1,0,0,0,174
flat,la vida by tata housing,sector 113,3.05,15561.22,3,4,3,3.0,Relatively New,2150.0,0,1,0,0,0,0,174
flat,pareena mi casa,sector 68,1.7,8500.0,4,4,3+,23.0,New Property,1809.0,0,0,0,0,0,0,88
flat,tulip violet,sector 69,1.6,10139.42,3,3,2,0.0,Relatively New,1428.0,0,0,0,1,0,0,166
flat,mapsko casa bella,sector 82,0.86,8120.87,3,3,3,5.0,Moderately Old,1234.0,1,0,0,0,0,1,120
flat,navjyoti apartment,sector 38,2.1,11938.6,4,4,3+,10.0,Old Property,1954.0,0,0,0,0,0,2,22
flat,microtek greenburg,sector 86,1.93,8446.39,3,4,3,12.0,Relatively New,2068.0,0,1,0,0,0,0,72
flat,m3m capital,sector 113,2.9,12619.67,4,4,3+,11.0,Under Construction,2553.0,1,1,0,0,0,0,49
flat,dlf regency park,sector 28,2.3,11819.12,3,3,3,7.0,Moderately Old,1777.0,0,1,0,0,0,0,117
house,huda,sector 38,3.5,24005.49,3,2,3,2.0,Moderately Old,1458.0,0,0,1,0,0,1,85
house,international city by sobha phase 1,sector 109,5.7,10555.56,4,5,3+,3.0,Relatively New,5400.0,1,1,1,1,0,0,160
house,bptp visionnaire,sector 70a,4.02,7309.09,4,4,3+,3.0,Relatively New,5500.0,1,1,1,1,0,0,138
flat,puri emerald bay,sector 104,1.58,9117.14,2,3,3,11.0,Relatively New,1538.0,0,1,0,0,0,0,101
flat,signature global park,sohna road,0.95,7844.76,3,2,3+,1.0,Relatively New,1210.723472,0,0,0,0,0,0,46
flat,chd avenue,sector 71,1.25,6596.31,3,4,2,14.0,Relatively New,1577.0,1,1,0,1,1,2,128
flat,chintels paradiso,sector 109,1.8,8867.0,3,3,2,0.0,Moderately Old,1910.0,0,1,0,0,0,0,83
flat,paras irene,sector 70a,1.3,9219.86,2,2,3,19.0,Moderately Old,1426.0,0,0,0,0,0,1,49
flat,supertech basera,sector 79,0.36,7643.31,2,2,1,4.0,New Property,546.0,0,0,0,0,0,0,60
flat,ansal height 86,sector 86,0.8,5882.35,2,2,0,1.0,Relatively New,1360.0,0,0,0,0,0,0,0
flat,emaar mgf emerald floors premier,sector 65,2.4,14545.45,3,3,3,3.0,Relatively New,1600.0,1,1,0,0,0,1,49
flat,signature global solera,sector 107,0.27,5521.47,2,2,2,0.0,Relatively New,543.0,0,0,0,0,0,0,45
flat,la vida by tata housing,sector 113,2.78,10334.57,3,4,3+,5.0,Relatively New,2350.0,0,1,0,0,0,0,174
flat,m3m skycity,sector 65,3.0,16411.38,3,3,3,17.0,Under Construction,1828.0,0,0,0,0,0,0,99
house,signature global city 92,sector 92,0.75,7820.65,2,2,3,1.0,Relatively New,959.0,0,0,0,0,0,0,46
house,unitech uniworld resorts,sector 33,8.0,11428.57,4,4,3+,2.0,Old Property,7000.0,1,1,1,1,0,0,77
flat,mapsko casa bella,sector 82,3.0,6133.71,4,6,3+,25.0,Relatively New,4425.0,0,1,0,1,0,1,119
house,independent,sector 105,0.5,5555.56,2,2,0,1.0,Moderately Old,100.0,0,0,0,0,0,0,0
flat,signature global solera,sector 107,0.36,6581.35,2,2,2,8.0,Relatively New,608.0,0,0,0,0,0,0,45
flat,aipl the peaceful homes,sector 70a,2.3,10697.67,3,3,3,3.0,Relatively New,1946.0,0,0,1,0,0,1,124
flat,palam vihar society,sector 2,3.35,7444.44,4,4,3+,2.0,New Property,5000.0,1,0,0,0,0,0,66
flat,deepak minda,manesar,1.25,4715.2,4,4,3+,6.0,Moderately Old,2946.0,0,0,0,0,0,1,44
house,independent,sector 4,0.55,4074.07,3,3,2,2.0,Relatively New,1350.0,0,0,0,0,1,0,7
house,independent,sector 26,13.5,29880.48,5,5,3+,2.0,Relatively New,4518.0,1,1,0,1,1,2,49
flat,signature global park,sohna road,0.78,6403.94,3,3,3,1.0,Relatively New,1344.0,0,0,0,1,0,0,150
flat,bestech park view city,sector 49,2.9,12169.53,4,4,3+,5.0,Moderately Old,2157.0,0,1,0,0,0,0,117
flat,microtek greenburg,sector 86,1.3,8754.21,2,2,3,10.0,Relatively New,1339.0,1,0,0,0,0,0,38
house,sushant lok 1 builder floors,sector 43,2.45,7755.62,4,4,3+,3.0,Moderately Old,540.0,1,1,0,1,1,2,123
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11666.67,2,2,3,0.0,Relatively New,1286.0,0,0,0,0,0,0,80
flat,godrej nature plus,sector 33,1.3,8349.39,3,2,3+,18.0,New Property,1409.0,0,0,0,0,0,0,38
house,independent,sector 2,6.0,24691.36,5,6,3+,3.0,Old Property,2430.0,1,0,0,1,1,1,43
flat,gls avenue 51,sector 92,0.42,7106.6,2,2,1,4.0,Relatively New,657.0,1,0,0,1,0,1,42
flat,spire woods now ananda by alpha corp,sector 103,1.25,6902.26,3,4,3,11.0,Under Construction,2012.0,1,1,0,0,0,0,105
flat,ats kocoon,sector 109,1.7,9742.12,3,3,3,21.0,Moderately Old,1550.0,0,0,0,0,0,0,49
house,independent,sector 23,5.5,13095.24,9,9,3+,3.0,Moderately Old,4200.0,0,1,0,0,1,1,0
house,independent,sector 3 phase 2,0.4,8000.0,2,1,0,1.0,Relatively New,500.0,0,0,0,0,0,0,0
flat,godrej,sector 79,1.34,8524.17,2,2,3,2.0,Relatively New,1423.0,1,0,0,0,0,0,158
house,vatika india next,sector 82,7.0,21604.94,4,4,3+,3.0,Relatively New,3900.0,0,1,0,0,0,2,105
